epoch_s,map_x,map_y,map_yaw_deg,odom_x,odom_y,odom_yaw_deg,corr_x,corr_y,corr_yaw_deg
1789483978.776,0.0000,-0.0000,0.00,0.0000,-0.0000,0.00,0.0000,0.0000,0.00
1789483978.876,0.0000,-0.0000,0.00,0.0000,-0.0000,0.00,0.0000,0.0000,0.00
1789483978.976,0.0000,-0.0000,0.00,0.0000,-0.0000,0.00,0.0000,0.0000,0.00
1789483979.076,0.0000,-0.0000,0.00,0.0000,-0.0000,0.00,0.0000,0.0000,0.00
1789483979.176,0.0000,-0.0000,0.00,0.0000,-0.0000,0.00,0.0000,0.0000,0.00
1789483979.276,0.0000,-0.0000,0.00,0.0000,-0.0000,0.00,0.0000,0.0000,0.00
1789483979.376,0.0000,-0.0000,0.00,0.0000,-0.0000,0.00,0.0000,0.0000,0.00
1789483979.477,0.0000,-0.0000,0.00,0.0000,-0.0000,0.00,0.0000,0.0000,0.00
1789483979.593,0.0000,-0.0000,0.00,0.0000,-0.0000,0.00,0.0000,0.0000,0.00
1789483979.676,0.0000,-0.0000,0.00,0.0000,-0.0000,0.00,0.0000,0.0000,0.00
1789483979.779,0.0000,-0.0000,0.00,0.0000,-0.0000,0.00,0.0000,0.0000,0.00
1789483979.876,0.0000,-0.0000,0.00,0.0000,-0.0000,0.00,0.0000,0.0000,0.00
1789483979.976,0.0000,-0.0000,0.00,0.0000,-0.0000,0.00,0.0000,0.0000,0.00
1789483980.076,0.0000,-0.0000,0.00,0.0000,-0.0000,0.00,0.0000,0.0000,0.00
1789483980.176,0.0000,-0.0000,0.00,0.0000,-0.0000,0.00,0.0000,0.0000,0.00
1789483980.283,0.0000,-0.0000,0.00,0.0000,-0.0000,0.00,0.0000,0.0000,0.00
1789483980.376,0.0000,-0.0000,0.00,0.0000,-0.0000,0.00,0.0000,0.0000,0.00
1789483980.477,0.0000,-0.0000,0.00,0.0000,-0.0000,0.00,0.0000,0.0000,0.00
1789483980.577,0.0000,-0.0000,0.00,0.0000,-0.0000,0.00,0.0000,0.0000,0.00
1789483980.676,0.0000,-0.0000,0.00,0.0000,-0.0000,0.00,0.0000,0.0000,0.00
1789483980.776,0.0000,-0.0000,0.00,0.0000,-0.0000,0.00,0.0000,0.0000,0.00
1789483980.877,0.0000,-0.0000,0.00,0.0000,-0.0000,0.00,0.0000,0.0000,0.00
1789483980.977,0.0000,-0.0000,0.00,0.0000,-0.0000,0.00,0.0000,0.0000,0.00
1789483981.077,0.0000,-0.0000,0.00,0.0000,-0.0000,0.00,0.0000,0.0000,0.00
1789483981.176,0.0000,-0.0000,0.00,0.0000,-0.0000,0.00,0.0000,0.0000,0.00
1789483981.276,0.0000,-0.0000,0.00,0.0000,-0.0000,0.00,0.0000,0.0000,0.00
1789483981.376,0.0000,-0.0000,0.00,0.0000,-0.0000,0.00,0.0000,0.0000,0.00
1789483981.476,0.0000,-0.0000,0.00,0.0000,-0.0000,0.00,0.0000,0.0000,0.00
1789483981.577,0.0000,-0.0000,0.00,0.0000,-0.0000,0.00,0.0000,0.0000,0.00
1789483981.677,0.0000,-0.0000,0.00,0.0000,-0.0000,0.00,0.0000,0.0000,0.00
1789483981.776,0.0000,-0.0000,0.00,0.0000,-0.0000,0.00,0.0000,0.0000,0.00
1789483981.876,0.0000,-0.0000,0.00,0.0000,-0.0000,0.00,0.0000,0.0000,0.00
1789483981.976,0.0000,-0.0000,0.00,0.0000,-0.0000,0.00,0.0000,0.0000,0.00
1789483982.076,0.0000,-0.0000,0.00,0.0000,-0.0000,0.00,0.0000,0.0000,0.00
1789483982.176,0.0000,-0.0000,0.00,0.0000,-0.0000,0.00,0.0000,0.0000,0.00
1789483982.276,0.0000,-0.0000,0.00,0.0000,-0.0000,0.00,0.0000,0.0000,0.00
1789483982.376,0.0000,-0.0000,0.00,0.0000,-0.0000,0.00,0.0000,0.0000,0.00
1789483982.476,0.0000,-0.0000,0.00,0.0000,-0.0000,0.00,0.0000,0.0000,0.00
1789483982.577,0.0000,-0.0000,0.00,0.0000,-0.0000,0.00,0.0000,0.0000,0.00
1789483982.676,0.0000,-0.0000,0.00,0.0000,-0.0000,0.00,0.0000,0.0000,0.00
1789483982.776,0.0000,-0.0000,0.00,0.0000,-0.0000,0.00,0.0000,0.0000,0.00
1789483982.876,0.0000,-0.0000,0.00,0.0000,-0.0000,0.00,0.0000,0.0000,0.00
1789483982.976,0.0000,-0.0000,0.00,0.0000,-0.0000,0.00,0.0000,0.0000,0.00
1789483983.076,0.0000,-0.0000,0.00,0.0000,-0.0000,0.00,0.0000,0.0000,0.00
1789483983.176,0.0000,-0.0000,0.00,0.0000,-0.0000,0.00,0.0000,0.0000,0.00
1789483983.276,0.0000,-0.0000,0.00,0.0000,-0.0000,0.00,0.0000,0.0000,0.00
1789483983.376,0.0000,-0.0000,0.00,0.0000,-0.0000,0.00,0.0000,0.0000,0.00
1789483983.476,0.0000,-0.0000,0.00,0.0000,-0.0000,0.00,0.0000,0.0000,0.00
1789483983.576,0.0000,-0.0000,0.00,0.0000,-0.0000,0.00,0.0000,0.0000,0.00
1789483983.677,0.0000,-0.0000,0.00,0.0000,-0.0000,0.00,0.0000,0.0000,0.00
1789483983.776,0.0000,-0.0000,0.00,0.0000,-0.0000,0.00,0.0000,0.0000,0.00
1789483983.876,0.0000,-0.0000,0.00,0.0000,-0.0000,0.00,0.0000,0.0000,0.00
1789483983.976,0.0000,-0.0000,0.00,0.0000,-0.0000,0.00,0.0000,0.0000,0.00
1789483984.076,0.0000,-0.0000,0.00,0.0000,-0.0000,0.00,0.0000,0.0000,0.00
1789483984.176,0.0000,-0.0000,0.00,0.0000,-0.0000,0.00,0.0000,0.0000,0.00
1789483984.276,0.0000,-0.0000,0.00,0.0000,-0.0000,0.00,0.0000,0.0000,0.00
1789483984.376,0.0000,-0.0000,0.00,0.0000,-0.0000,0.00,0.0000,0.0000,0.00
1789483984.476,0.0000,-0.0000,0.00,0.0000,-0.0000,0.00,0.0000,0.0000,0.00
1789483984.576,0.0000,-0.0000,0.00,0.0000,-0.0000,0.00,0.0000,0.0000,0.00
1789483984.676,0.0000,-0.0000,0.00,0.0000,-0.0000,0.00,0.0000,0.0000,0.00
1789483984.776,0.0000,-0.0000,0.00,0.0000,-0.0000,0.00,0.0000,0.0000,0.00
1789483984.876,0.0000,-0.0000,0.00,0.0000,-0.0000,0.00,0.0000,0.0000,0.00
1789483984.976,0.0000,-0.0000,0.00,0.0000,-0.0000,0.00,0.0000,0.0000,0.00
1789483985.076,0.0000,-0.0000,0.00,0.0000,-0.0000,0.00,0.0000,0.0000,0.00
1789483985.176,0.0000,-0.0000,0.00,0.0000,-0.0000,0.00,0.0000,0.0000,0.00
1789483985.276,0.0000,-0.0000,0.00,0.0000,-0.0000,0.00,0.0000,0.0000,0.00
1789483985.376,0.0000,-0.0000,0.00,0.0000,-0.0000,0.00,0.0000,0.0000,0.00
1789483985.476,0.0000,-0.0000,0.00,0.0000,-0.0000,0.00,0.0000,0.0000,0.00
1789483985.576,0.0000,-0.0000,0.00,0.0000,-0.0000,0.00,0.0000,0.0000,0.00
1789483985.676,0.0000,-0.0000,0.00,0.0000,-0.0000,0.00,0.0000,0.0000,0.00
1789483985.776,0.0000,-0.0000,0.00,0.0000,-0.0000,0.00,0.0000,0.0000,0.00
1789483985.876,0.0000,-0.0000,0.00,0.0000,-0.0000,0.00,0.0000,0.0000,0.00
1789483985.976,0.0000,-0.0000,0.00,0.0000,-0.0000,0.00,0.0000,0.0000,0.00
1789483986.076,0.0000,-0.0000,0.00,0.0000,-0.0000,0.00,0.0000,0.0000,0.00
1789483986.176,0.0000,-0.0000,0.00,0.0000,-0.0000,0.00,0.0000,0.0000,0.00
1789483986.276,0.0000,-0.0000,0.00,0.0000,-0.0000,0.00,0.0000,0.0000,0.00
1789483986.376,0.0000,-0.0000,0.00,0.0000,-0.0000,0.00,0.0000,0.0000,0.00
1789483986.476,0.0000,-0.0000,0.00,0.0000,-0.0000,0.00,0.0000,0.0000,0.00
1789483986.576,0.0000,-0.0000,0.00,0.0000,-0.0000,0.00,0.0000,0.0000,0.00
1789483986.676,0.0000,-0.0000,0.00,0.0000,-0.0000,0.00,0.0000,0.0000,0.00
1789483986.776,0.0000,-0.0000,0.00,0.0000,-0.0000,0.00,0.0000,0.0000,0.00
1789483986.876,0.0000,-0.0000,0.00,0.0000,-0.0000,0.00,0.0000,0.0000,0.00
1789483986.976,0.0000,-0.0000,0.00,0.0000,-0.0000,0.00,0.0000,0.0000,0.00
1789483987.076,0.0000,-0.0000,0.00,0.0000,-0.0000,0.00,0.0000,0.0000,0.00
1789483987.176,0.0000,-0.0000,0.00,0.0000,-0.0000,0.00,0.0000,0.0000,0.00
1789483987.276,0.0000,-0.0000,0.00,0.0000,-0.0000,0.00,0.0000,0.0000,0.00
1789483987.376,0.0000,-0.0000,0.00,0.0000,-0.0000,0.00,0.0000,0.0000,0.00
1789483987.476,0.0000,-0.0000,0.00,0.0000,-0.0000,0.00,0.0000,0.0000,0.00
1789483987.576,0.0000,-0.0000,0.00,0.0000,-0.0000,0.00,0.0000,0.0000,0.00
1789483987.676,0.0000,-0.0000,0.00,0.0000,-0.0000,0.00,0.0000,0.0000,0.00
1789483987.776,0.0000,-0.0000,0.00,0.0000,-0.0000,0.00,0.0000,0.0000,0.00
1789483987.876,0.0000,-0.0000,0.00,0.0000,-0.0000,0.00,0.0000,0.0000,0.00
1789483987.976,0.0000,-0.0000,0.00,0.0000,-0.0000,0.00,0.0000,0.0000,0.00
1789483988.076,0.0000,-0.0000,0.00,0.0000,-0.0000,0.00,0.0000,0.0000,0.00
1789483988.176,0.0000,-0.0000,0.00,0.0000,-0.0000,0.00,0.0000,0.0000,0.00
1789483988.276,0.0000,-0.0000,0.00,0.0000,-0.0000,0.00,0.0000,0.0000,0.00
1789483988.376,0.0000,-0.0000,0.00,0.0000,-0.0000,0.00,0.0000,0.0000,0.00
1789483988.476,0.0000,-0.0000,0.00,0.0000,-0.0000,0.00,0.0000,0.0000,0.00
1789483988.576,0.0000,-0.0000,0.00,0.0000,-0.0000,0.00,0.0000,0.0000,0.00
1789483988.676,0.0000,-0.0000,0.00,0.0000,-0.0000,0.00,0.0000,0.0000,0.00
1789483988.776,0.0000,-0.0000,0.00,0.0000,-0.0000,0.00,0.0000,0.0000,0.00
1789483988.876,0.0000,-0.0000,0.00,0.0000,-0.0000,0.00,0.0000,0.0000,0.00
1789483988.976,0.0000,-0.0000,0.00,0.0000,-0.0000,0.00,0.0000,0.0000,0.00
1789483989.076,0.0000,-0.0000,0.00,0.0000,-0.0000,0.00,0.0000,0.0000,0.00
1789483989.176,0.0000,-0.0000,0.00,0.0000,-0.0000,0.00,0.0000,0.0000,0.00
1789483989.276,0.0000,-0.0000,0.00,0.0000,-0.0000,0.00,0.0000,0.0000,0.00
